,coefficients,replicate,pval,treatment_site
treatment20C:siteCI5...516,NA,74,NA,treatment20C:siteCI5
treatment20C:siteDB...517,NA,74,NA,treatment20C:siteDB
treatment20C:sitePW...518,NA,74,NA,treatment20C:sitePW
treatment20C...519,-0.620114744,75,2.98E-142,treatment20C
siteCI5...520,NA,75,NA,siteCI5
siteDB...521,NA,75,NA,siteDB
sitePW...522,NA,75,NA,sitePW
treatment20C:siteCI5...523,NA,75,NA,treatment20C:siteCI5
treatment20C:siteDB...524,NA,75,NA,treatment20C:siteDB
treatment20C:sitePW...525,NA,75,NA,treatment20C:sitePW
treatment20C...526,-0.431339397,76,6.57E-71,treatment20C
siteCI5...527,NA,76,NA,siteCI5
siteDB...528,NA,76,NA,siteDB
sitePW...529,NA,76,NA,sitePW
treatment20C:siteCI5...530,NA,76,NA,treatment20C:siteCI5
treatment20C:siteDB...531,NA,76,NA,treatment20C:siteDB
treatment20C:sitePW...532,NA,76,NA,treatment20C:sitePW
treatment20C...533,-0.42613694,77,1.75E-70,treatment20C
siteCI5...534,NA,77,NA,siteCI5
siteDB...535,NA,77,NA,siteDB
sitePW...536,NA,77,NA,sitePW
treatment20C:siteCI5...537,NA,77,NA,treatment20C:siteCI5
treatment20C:siteDB...538,NA,77,NA,treatment20C:siteDB
treatment20C:sitePW...539,NA,77,NA,treatment20C:sitePW
treatment20C...540,-0.648501558,78,6.12E-152,treatment20C
siteCI5...541,NA,78,NA,siteCI5
siteDB...542,NA,78,NA,siteDB
sitePW...543,NA,78,NA,sitePW
treatment20C:siteCI5...544,NA,78,NA,treatment20C:siteCI5
treatment20C:siteDB...545,NA,78,NA,treatment20C:siteDB
treatment20C:sitePW...546,NA,78,NA,treatment20C:sitePW
treatment20C...547,-0.306465807,79,2.24E-38,treatment20C
siteCI5...548,NA,79,NA,siteCI5
siteDB...549,NA,79,NA,siteDB
sitePW...550,NA,79,NA,sitePW
treatment20C:siteCI5...551,NA,79,NA,treatment20C:siteCI5
treatment20C:siteDB...552,NA,79,NA,treatment20C:siteDB
treatment20C:sitePW...553,NA,79,NA,treatment20C:sitePW
treatment20C...554,-0.440220738,80,2.69E-72,treatment20C
siteCI5...555,NA,80,NA,siteCI5
siteDB...556,NA,80,NA,siteDB
sitePW...557,NA,80,NA,sitePW
treatment20C:siteCI5...558,NA,80,NA,treatment20C:siteCI5
treatment20C:siteDB...559,NA,80,NA,treatment20C:siteDB
treatment20C:sitePW...560,NA,80,NA,treatment20C:sitePW
treatment20C...561,-0.494996247,81,2.04E-91,treatment20C
siteCI5...562,NA,81,NA,siteCI5
siteDB...563,NA,81,NA,siteDB
sitePW...564,NA,81,NA,sitePW
treatment20C:siteCI5...565,NA,81,NA,treatment20C:siteCI5
treatment20C:siteDB...566,NA,81,NA,treatment20C:siteDB
treatment20C:sitePW...567,NA,81,NA,treatment20C:sitePW
treatment20C...568,-0.461123653,82,3.84E-74,treatment20C
siteCI5...569,NA,82,NA,siteCI5
siteDB...570,NA,82,NA,siteDB
sitePW...571,NA,82,NA,sitePW
treatment20C:siteCI5...572,NA,82,NA,treatment20C:siteCI5
treatment20C:siteDB...573,NA,82,NA,treatment20C:siteDB
treatment20C:sitePW...574,NA,82,NA,treatment20C:sitePW
treatment20C...575,-0.374550825,83,2.58E-51,treatment20C
siteCI5...576,NA,83,NA,siteCI5
siteDB...577,NA,83,NA,siteDB
sitePW...578,NA,83,NA,sitePW
treatment20C:siteCI5...579,NA,83,NA,treatment20C:siteCI5
treatment20C:siteDB...580,NA,83,NA,treatment20C:siteDB
treatment20C:sitePW...581,NA,83,NA,treatment20C:sitePW
treatment20C...582,-0.404432986,84,1.85E-62,treatment20C
siteCI5...583,NA,84,NA,siteCI5
siteDB...584,NA,84,NA,siteDB
sitePW...585,NA,84,NA,sitePW
treatment20C:siteCI5...586,NA,84,NA,treatment20C:siteCI5
treatment20C:siteDB...587,NA,84,NA,treatment20C:siteDB
treatment20C:sitePW...588,NA,84,NA,treatment20C:sitePW
treatment20C...589,-0.48207341,85,1.15E-88,treatment20C
siteCI5...590,NA,85,NA,siteCI5
siteDB...591,NA,85,NA,siteDB
sitePW...592,NA,85,NA,sitePW
treatment20C:siteCI5...593,NA,85,NA,treatment20C:siteCI5
treatment20C:siteDB...594,NA,85,NA,treatment20C:siteDB
treatment20C:sitePW...595,NA,85,NA,treatment20C:sitePW
treatment20C...596,-0.505050175,86,2.66E-109,treatment20C
siteCI5...597,NA,86,NA,siteCI5
siteDB...598,NA,86,NA,siteDB
sitePW...599,NA,86,NA,sitePW
treatment20C:siteCI5...600,NA,86,NA,treatment20C:siteCI5
treatment20C:siteDB...601,NA,86,NA,treatment20C:siteDB
treatment20C:sitePW...602,NA,86,NA,treatment20C:sitePW
treatment20C...603,-0.493104166,87,1.97E-86,treatment20C
siteCI5...604,NA,87,NA,siteCI5
siteDB...605,NA,87,NA,siteDB
sitePW...606,NA,87,NA,sitePW
treatment20C:siteCI5...607,NA,87,NA,treatment20C:siteCI5
treatment20C:siteDB...608,NA,87,NA,treatment20C:siteDB
treatment20C:sitePW...609,NA,87,NA,treatment20C:sitePW
treatment20C...610,-0.426040865,88,1.15E-69,treatment20C
siteCI5...611,NA,88,NA,siteCI5
siteDB...612,NA,88,NA,siteDB
sitePW...613,NA,88,NA,sitePW
treatment20C:siteCI5...614,NA,88,NA,treatment20C:siteCI5
treatment20C:siteDB...615,NA,88,NA,treatment20C:siteDB
treatment20C:sitePW...616,NA,88,NA,treatment20C:sitePW
treatment20C...617,-0.336139389,89,4.71E-49,treatment20C
siteCI5...618,NA,89,NA,siteCI5
siteDB...619,NA,89,NA,siteDB
sitePW...620,NA,89,NA,sitePW
treatment20C:siteCI5...621,NA,89,NA,treatment20C:siteCI5
treatment20C:siteDB...622,NA,89,NA,treatment20C:siteDB
treatment20C:sitePW...623,NA,89,NA,treatment20C:sitePW
treatment20C...624,-0.541022165,90,2.98E-102,treatment20C
siteCI5...625,NA,90,NA,siteCI5
siteDB...626,NA,90,NA,siteDB
sitePW...627,NA,90,NA,sitePW
treatment20C:siteCI5...628,NA,90,NA,treatment20C:siteCI5
treatment20C:siteDB...629,NA,90,NA,treatment20C:siteDB
treatment20C:sitePW...630,NA,90,NA,treatment20C:sitePW
treatment20C...631,-0.520697769,91,1.25E-97,treatment20C
siteCI5...632,NA,91,NA,siteCI5
siteDB...633,NA,91,NA,siteDB
sitePW...634,NA,91,NA,sitePW
treatment20C:siteCI5...635,NA,91,NA,treatment20C:siteCI5
treatment20C:siteDB...636,NA,91,NA,treatment20C:siteDB
treatment20C:sitePW...637,NA,91,NA,treatment20C:sitePW
treatment20C...638,-0.707401742,92,1.73E-169,treatment20C
siteCI5...639,NA,92,NA,siteCI5
siteDB...640,NA,92,NA,siteDB
sitePW...641,NA,92,NA,sitePW
treatment20C:siteCI5...642,NA,92,NA,treatment20C:siteCI5
treatment20C:siteDB...643,NA,92,NA,treatment20C:siteDB
treatment20C:sitePW...644,NA,92,NA,treatment20C:sitePW
treatment20C...645,-0.420352381,93,4.72E-63,treatment20C
siteCI5...646,NA,93,NA,siteCI5
siteDB...647,NA,93,NA,siteDB
sitePW...648,NA,93,NA,sitePW
treatment20C:siteCI5...649,NA,93,NA,treatment20C:siteCI5
treatment20C:siteDB...650,NA,93,NA,treatment20C:siteDB
treatment20C:sitePW...651,NA,93,NA,treatment20C:sitePW
treatment20C...652,-0.665395058,94,4.00E-154,treatment20C
siteCI5...653,NA,94,NA,siteCI5
siteDB...654,NA,94,NA,siteDB
sitePW...655,NA,94,NA,sitePW
treatment20C:siteCI5...656,NA,94,NA,treatment20C:siteCI5
treatment20C:siteDB...657,NA,94,NA,treatment20C:siteDB
treatment20C:sitePW...658,NA,94,NA,treatment20C:sitePW
treatment20C...659,-0.40874749,95,5.62E-63,treatment20C
siteCI5...660,NA,95,NA,siteCI5
siteDB...661,NA,95,NA,siteDB
sitePW...662,NA,95,NA,sitePW
treatment20C:siteCI5...663,NA,95,NA,treatment20C:siteCI5
treatment20C:siteDB...664,NA,95,NA,treatment20C:siteDB
treatment20C:sitePW...665,NA,95,NA,treatment20C:sitePW
treatment20C...666,-0.543857366,96,3.63E-107,treatment20C
siteCI5...667,NA,96,NA,siteCI5
siteDB...668,NA,96,NA,siteDB
sitePW...669,NA,96,NA,sitePW
treatment20C:siteCI5...670,NA,96,NA,treatment20C:siteCI5
treatment20C:siteDB...671,NA,96,NA,treatment20C:siteDB
treatment20C:sitePW...672,NA,96,NA,treatment20C:sitePW
treatment20C...673,-0.487299714,97,3.01E-90,treatment20C
siteCI5...674,NA,97,NA,siteCI5
siteDB...675,NA,97,NA,siteDB
sitePW...676,NA,97,NA,sitePW
treatment20C:siteCI5...677,NA,97,NA,treatment20C:siteCI5
treatment20C:siteDB...678,NA,97,NA,treatment20C:siteDB
treatment20C:sitePW...679,NA,97,NA,treatment20C:sitePW
treatment20C...680,-0.626955599,98,2.85E-138,treatment20C
siteCI5...681,NA,98,NA,siteCI5
siteDB...682,NA,98,NA,siteDB
sitePW...683,NA,98,NA,sitePW
treatment20C:siteCI5...684,NA,98,NA,treatment20C:siteCI5
treatment20C:siteDB...685,NA,98,NA,treatment20C:siteDB
treatment20C:sitePW...686,NA,98,NA,treatment20C:sitePW
treatment20C...687,-0.446844642,99,3.66E-78,treatment20C
siteCI5...688,NA,99,NA,siteCI5
siteDB...689,NA,99,NA,siteDB
sitePW...690,NA,99,NA,sitePW
treatment20C:siteCI5...691,NA,99,NA,treatment20C:siteCI5
treatment20C:siteDB...692,NA,99,NA,treatment20C:siteDB
treatment20C:sitePW...693,NA,99,NA,treatment20C:sitePW
treatment20C...694,-0.395729756,100,6.17E-59,treatment20C
siteCI5...695,NA,100,NA,siteCI5
siteDB...696,NA,100,NA,siteDB
sitePW...697,NA,100,NA,sitePW
treatment20C:siteCI5...698,NA,100,NA,treatment20C:siteCI5
treatment20C:siteDB...699,NA,100,NA,treatment20C:siteDB
treatment20C:sitePW...700,NA,100,NA,treatment20C:sitePW
treatment20C...701,-0.420010547,101,7.01E-61,treatment20C
siteCI5...702,NA,101,NA,siteCI5
siteDB...703,NA,101,NA,siteDB
sitePW...704,NA,101,NA,sitePW
treatment20C:siteCI5...705,NA,101,NA,treatment20C:siteCI5
treatment20C:siteDB...706,NA,101,NA,treatment20C:siteDB
treatment20C:sitePW...707,NA,101,NA,treatment20C:sitePW
treatment20C...708,-0.309131036,102,1.19E-35,treatment20C
siteCI5...709,NA,102,NA,siteCI5
siteDB...710,NA,102,NA,siteDB
sitePW...711,NA,102,NA,sitePW
treatment20C:siteCI5...712,NA,102,NA,treatment20C:siteCI5
treatment20C:siteDB...713,NA,102,NA,treatment20C:siteDB
treatment20C:sitePW...714,NA,102,NA,treatment20C:sitePW
treatment20C...715,-0.402358587,103,1.94E-62,treatment20C
siteCI5...716,NA,103,NA,siteCI5
siteDB...717,NA,103,NA,siteDB
sitePW...718,NA,103,NA,sitePW
treatment20C:siteCI5...719,NA,103,NA,treatment20C:siteCI5
treatment20C:siteDB...720,NA,103,NA,treatment20C:siteDB
treatment20C:sitePW...721,NA,103,NA,treatment20C:sitePW
treatment20C...722,-0.457861885,104,1.78E-79,treatment20C
siteCI5...723,NA,104,NA,siteCI5
siteDB...724,NA,104,NA,siteDB
sitePW...725,NA,104,NA,sitePW
treatment20C:siteCI5...726,NA,104,NA,treatment20C:siteCI5
treatment20C:siteDB...727,NA,104,NA,treatment20C:siteDB
treatment20C:sitePW...728,NA,104,NA,treatment20C:sitePW
treatment20C...729,-0.235039961,105,1.03E-21,treatment20C
siteCI5...730,NA,105,NA,siteCI5
siteDB...731,NA,105,NA,siteDB
sitePW...732,NA,105,NA,sitePW
treatment20C:siteCI5...733,NA,105,NA,treatment20C:siteCI5
treatment20C:siteDB...734,NA,105,NA,treatment20C:siteDB
treatment20C:sitePW...735,NA,105,NA,treatment20C:sitePW
treatment20C...736,-0.578886478,106,7.88E-122,treatment20C
siteCI5...737,NA,106,NA,siteCI5
siteDB...738,NA,106,NA,siteDB
sitePW...739,NA,106,NA,sitePW
treatment20C:siteCI5...740,NA,106,NA,treatment20C:siteCI5
treatment20C:siteDB...741,NA,106,NA,treatment20C:siteDB
treatment20C:sitePW...742,NA,106,NA,treatment20C:sitePW
treatment20C...743,-0.386477646,107,7.28E-55,treatment20C
siteCI5...744,NA,107,NA,siteCI5
siteDB...745,NA,107,NA,siteDB
sitePW...746,NA,107,NA,sitePW
treatment20C:siteCI5...747,NA,107,NA,treatment20C:siteCI5
treatment20C:siteDB...748,NA,107,NA,treatment20C:siteDB
treatment20C:sitePW...749,NA,107,NA,treatment20C:sitePW
treatment20C...750,-0.425433436,108,7.52E-68,treatment20C
siteCI5...751,NA,108,NA,siteCI5
siteDB...752,NA,108,NA,siteDB
sitePW...753,NA,108,NA,sitePW
treatment20C:siteCI5...754,NA,108,NA,treatment20C:siteCI5
treatment20C:siteDB...755,NA,108,NA,treatment20C:siteDB
treatment20C:sitePW...756,NA,108,NA,treatment20C:sitePW
treatment20C...757,-0.430659246,109,1.70E-72,treatment20C
siteCI5...758,NA,109,NA,siteCI5
siteDB...759,NA,109,NA,siteDB
sitePW...760,NA,109,NA,sitePW
treatment20C:siteCI5...761,NA,109,NA,treatment20C:siteCI5
treatment20C:siteDB...762,NA,109,NA,treatment20C:siteDB
treatment20C:sitePW...763,NA,109,NA,treatment20C:sitePW
treatment20C...764,-0.550262916,110,1.49E-110,treatment20C
siteCI5...765,NA,110,NA,siteCI5
siteDB...766,NA,110,NA,siteDB
sitePW...767,NA,110,NA,sitePW
treatment20C:siteCI5...768,NA,110,NA,treatment20C:siteCI5
treatment20C:siteDB...769,NA,110,NA,treatment20C:siteDB
treatment20C:sitePW...770,NA,110,NA,treatment20C:sitePW
treatment20C...771,-0.410651867,111,3.09E-69,treatment20C
siteCI5...772,NA,111,NA,siteCI5
siteDB...773,NA,111,NA,siteDB
sitePW...774,NA,111,NA,sitePW
treatment20C:siteCI5...775,NA,111,NA,treatment20C:siteCI5
treatment20C:siteDB...776,NA,111,NA,treatment20C:siteDB
treatment20C:sitePW...777,NA,111,NA,treatment20C:sitePW
treatment20C...778,-0.632256709,112,2.54E-142,treatment20C
siteCI5...779,NA,112,NA,siteCI5
siteDB...780,NA,112,NA,siteDB
sitePW...781,NA,112,NA,sitePW
treatment20C:siteCI5...782,NA,112,NA,treatment20C:siteCI5
treatment20C:siteDB...783,NA,112,NA,treatment20C:siteDB
treatment20C:sitePW...784,NA,112,NA,treatment20C:sitePW
treatment20C...785,-0.528927661,113,4.14E-111,treatment20C
siteCI5...786,NA,113,NA,siteCI5
siteDB...787,NA,113,NA,siteDB
sitePW...788,NA,113,NA,sitePW
treatment20C:siteCI5...789,NA,113,NA,treatment20C:siteCI5
treatment20C:siteDB...790,NA,113,NA,treatment20C:siteDB
treatment20C:sitePW...791,NA,113,NA,treatment20C:sitePW
treatment20C...792,-0.488988271,114,1.84E-85,treatment20C
siteCI5...793,NA,114,NA,siteCI5
siteDB...794,NA,114,NA,siteDB
sitePW...795,NA,114,NA,sitePW
treatment20C:siteCI5...796,NA,114,NA,treatment20C:siteCI5
treatment20C:siteDB...797,NA,114,NA,treatment20C:siteDB
treatment20C:sitePW...798,NA,114,NA,treatment20C:sitePW
treatment20C...799,-0.439811641,115,6.58E-76,treatment20C
siteCI5...800,NA,115,NA,siteCI5
siteDB...801,NA,115,NA,siteDB
sitePW...802,NA,115,NA,sitePW
treatment20C:siteCI5...803,NA,115,NA,treatment20C:siteCI5
treatment20C:siteDB...804,NA,115,NA,treatment20C:siteDB
treatment20C:sitePW...805,NA,115,NA,treatment20C:sitePW
treatment20C...806,-0.494926438,116,7.65E-85,treatment20C
siteCI5...807,NA,116,NA,siteCI5
siteDB...808,NA,116,NA,siteDB
sitePW...809,NA,116,NA,sitePW
treatment20C:siteCI5...810,NA,116,NA,treatment20C:siteCI5
treatment20C:siteDB...811,NA,116,NA,treatment20C:siteDB
treatment20C:sitePW...812,NA,116,NA,treatment20C:sitePW
treatment20C...813,-0.590711512,117,1.18E-135,treatment20C
siteCI5...814,NA,117,NA,siteCI5
siteDB...815,NA,117,NA,siteDB
sitePW...816,NA,117,NA,sitePW
treatment20C:siteCI5...817,NA,117,NA,treatment20C:siteCI5
treatment20C:siteDB...818,NA,117,NA,treatment20C:siteDB
treatment20C:sitePW...819,NA,117,NA,treatment20C:sitePW
treatment20C...820,-0.584780339,118,9.70E-130,treatment20C
siteCI5...821,NA,118,NA,siteCI5
siteDB...822,NA,118,NA,siteDB
sitePW...823,NA,118,NA,sitePW
treatment20C:siteCI5...824,NA,118,NA,treatment20C:siteCI5
treatment20C:siteDB...825,NA,118,NA,treatment20C:siteDB
treatment20C:sitePW...826,NA,118,NA,treatment20C:sitePW
treatment20C...827,-0.457133576,119,1.04E-82,treatment20C
siteCI5...828,NA,119,NA,siteCI5
siteDB...829,NA,119,NA,siteDB
sitePW...830,NA,119,NA,sitePW
treatment20C:siteCI5...831,NA,119,NA,treatment20C:siteCI5
treatment20C:siteDB...832,NA,119,NA,treatment20C:siteDB
treatment20C:sitePW...833,NA,119,NA,treatment20C:sitePW
treatment20C...834,-0.755650715,120,8.93E-191,treatment20C
siteCI5...835,NA,120,NA,siteCI5
siteDB...836,NA,120,NA,siteDB
sitePW...837,NA,120,NA,sitePW
treatment20C:siteCI5...838,NA,120,NA,treatment20C:siteCI5
treatment20C:siteDB...839,NA,120,NA,treatment20C:siteDB
treatment20C:sitePW...840,NA,120,NA,treatment20C:sitePW
treatment20C...841,-0.380214626,121,6.61E-56,treatment20C
siteCI5...842,NA,121,NA,siteCI5
siteDB...843,NA,121,NA,siteDB
sitePW...844,NA,121,NA,sitePW
treatment20C:siteCI5...845,NA,121,NA,treatment20C:siteCI5
treatment20C:siteDB...846,NA,121,NA,treatment20C:siteDB
treatment20C:sitePW...847,NA,121,NA,treatment20C:sitePW
treatment20C...848,-0.529019026,122,5.02E-107,treatment20C
siteCI5...849,NA,122,NA,siteCI5
siteDB...850,NA,122,NA,siteDB
sitePW...851,NA,122,NA,sitePW
treatment20C:siteCI5...852,NA,122,NA,treatment20C:siteCI5
treatment20C:siteDB...853,NA,122,NA,treatment20C:siteDB
treatment20C:sitePW...854,NA,122,NA,treatment20C:sitePW
treatment20C...855,-0.233204225,123,9.68E-24,treatment20C
siteCI5...856,NA,123,NA,siteCI5
siteDB...857,NA,123,NA,siteDB
sitePW...858,NA,123,NA,sitePW
treatment20C:siteCI5...859,NA,123,NA,treatment20C:siteCI5
treatment20C:siteDB...860,NA,123,NA,treatment20C:siteDB
treatment20C:sitePW...861,NA,123,NA,treatment20C:sitePW
treatment20C...862,-0.294500597,124,1.45E-31,treatment20C
siteCI5...863,NA,124,NA,siteCI5
siteDB...864,NA,124,NA,siteDB
sitePW...865,NA,124,NA,sitePW
treatment20C:siteCI5...866,NA,124,NA,treatment20C:siteCI5
treatment20C:siteDB...867,NA,124,NA,treatment20C:siteDB
treatment20C:sitePW...868,NA,124,NA,treatment20C:sitePW
treatment20C...869,-0.632196876,125,3.30E-154,treatment20C
siteCI5...870,NA,125,NA,siteCI5
siteDB...871,NA,125,NA,siteDB
sitePW...872,NA,125,NA,sitePW
treatment20C:siteCI5...873,NA,125,NA,treatment20C:siteCI5
treatment20C:siteDB...874,NA,125,NA,treatment20C:siteDB
treatment20C:sitePW...875,NA,125,NA,treatment20C:sitePW
treatment20C...876,-0.485273129,126,1.81E-87,treatment20C
siteCI5...877,NA,126,NA,siteCI5
siteDB...878,NA,126,NA,siteDB
sitePW...879,NA,126,NA,sitePW
treatment20C:siteCI5...880,NA,126,NA,treatment20C:siteCI5
treatment20C:siteDB...881,NA,126,NA,treatment20C:siteDB
treatment20C:sitePW...882,NA,126,NA,treatment20C:sitePW
treatment20C...883,-0.493699036,127,2.38E-90,treatment20C
siteCI5...884,NA,127,NA,siteCI5
siteDB...885,NA,127,NA,siteDB
sitePW...886,NA,127,NA,sitePW
treatment20C:siteCI5...887,NA,127,NA,treatment20C:siteCI5
treatment20C:siteDB...888,NA,127,NA,treatment20C:siteDB
treatment20C:sitePW...889,NA,127,NA,treatment20C:sitePW
treatment20C...890,-0.400886087,128,4.83E-57,treatment20C
siteCI5...891,NA,128,NA,siteCI5
siteDB...892,NA,128,NA,siteDB
sitePW...893,NA,128,NA,sitePW
treatment20C:siteCI5...894,NA,128,NA,treatment20C:siteCI5
treatment20C:siteDB...895,NA,128,NA,treatment20C:siteDB
treatment20C:sitePW...896,NA,128,NA,treatment20C:sitePW
treatment20C...897,-0.583744091,129,9.37E-116,treatment20C
siteCI5...898,NA,129,NA,siteCI5
siteDB...899,NA,129,NA,siteDB
sitePW...900,NA,129,NA,sitePW
treatment20C:siteCI5...901,NA,129,NA,treatment20C:siteCI5
treatment20C:siteDB...902,NA,129,NA,treatment20C:siteDB
treatment20C:sitePW...903,NA,129,NA,treatment20C:sitePW
treatment20C...904,-0.641613048,130,2.83E-151,treatment20C
siteCI5...905,NA,130,NA,siteCI5
siteDB...906,NA,130,NA,siteDB
sitePW...907,NA,130,NA,sitePW
treatment20C:siteCI5...908,NA,130,NA,treatment20C:siteCI5
treatment20C:siteDB...909,NA,130,NA,treatment20C:siteDB
treatment20C:sitePW...910,NA,130,NA,treatment20C:sitePW
treatment20C...911,-0.617089788,131,3.69E-138,treatment20C
siteCI5...912,NA,131,NA,siteCI5
siteDB...913,NA,131,NA,siteDB
sitePW...914,NA,131,NA,sitePW
treatment20C:siteCI5...915,NA,131,NA,treatment20C:siteCI5
treatment20C:siteDB...916,NA,131,NA,treatment20C:siteDB
treatment20C:sitePW...917,NA,131,NA,treatment20C:sitePW
treatment20C...918,-0.458415856,132,3.54E-86,treatment20C
siteCI5...919,NA,132,NA,siteCI5
siteDB...920,NA,132,NA,siteDB
sitePW...921,NA,132,NA,sitePW
treatment20C:siteCI5...922,NA,132,NA,treatment20C:siteCI5
treatment20C:siteDB...923,NA,132,NA,treatment20C:siteDB
treatment20C:sitePW...924,NA,132,NA,treatment20C:sitePW
treatment20C...925,-0.492634437,133,5.65E-86,treatment20C
siteCI5...926,NA,133,NA,siteCI5
siteDB...927,NA,133,NA,siteDB
sitePW...928,NA,133,NA,sitePW
treatment20C:siteCI5...929,NA,133,NA,treatment20C:siteCI5
treatment20C:siteDB...930,NA,133,NA,treatment20C:siteDB
treatment20C:sitePW...931,NA,133,NA,treatment20C:sitePW
treatment20C...932,-0.420505065,134,4.68E-69,treatment20C
siteCI5...933,NA,134,NA,siteCI5
siteDB...934,NA,134,NA,siteDB
sitePW...935,NA,134,NA,sitePW
treatment20C:siteCI5...936,NA,134,NA,treatment20C:siteCI5
treatment20C:siteDB...937,NA,134,NA,treatment20C:siteDB
treatment20C:sitePW...938,NA,134,NA,treatment20C:sitePW
treatment20C...939,-0.500028145,135,1.15E-91,treatment20C
siteCI5...940,NA,135,NA,siteCI5
siteDB...941,NA,135,NA,siteDB
sitePW...942,NA,135,NA,sitePW
treatment20C:siteCI5...943,NA,135,NA,treatment20C:siteCI5
treatment20C:siteDB...944,NA,135,NA,treatment20C:siteDB
treatment20C:sitePW...945,NA,135,NA,treatment20C:sitePW
treatment20C...946,-0.645501366,136,3.50E-142,treatment20C
siteCI5...947,NA,136,NA,siteCI5
siteDB...948,NA,136,NA,siteDB
sitePW...949,NA,136,NA,sitePW
treatment20C:siteCI5...950,NA,136,NA,treatment20C:siteCI5
treatment20C:siteDB...951,NA,136,NA,treatment20C:siteDB
treatment20C:sitePW...952,NA,136,NA,treatment20C:sitePW
treatment20C...953,-0.266512352,137,5.46E-28,treatment20C
siteCI5...954,NA,137,NA,siteCI5
siteDB...955,NA,137,NA,siteDB
sitePW...956,NA,137,NA,sitePW
treatment20C:siteCI5...957,NA,137,NA,treatment20C:siteCI5
treatment20C:siteDB...958,NA,137,NA,treatment20C:siteDB
treatment20C:sitePW...959,NA,137,NA,treatment20C:sitePW
treatment20C...960,-0.411343496,138,2.87E-62,treatment20C
siteCI5...961,NA,138,NA,siteCI5
siteDB...962,NA,138,NA,siteDB
sitePW...963,NA,138,NA,sitePW
treatment20C:siteCI5...964,NA,138,NA,treatment20C:siteCI5
treatment20C:siteDB...965,NA,138,NA,treatment20C:siteDB
treatment20C:sitePW...966,NA,138,NA,treatment20C:sitePW
treatment20C...967,-0.438823319,139,1.68E-73,treatment20C
siteCI5...968,NA,139,NA,siteCI5
siteDB...969,NA,139,NA,siteDB
sitePW...970,NA,139,NA,sitePW
treatment20C:siteCI5...971,NA,139,NA,treatment20C:siteCI5
treatment20C:siteDB...972,NA,139,NA,treatment20C:siteDB
treatment20C:sitePW...973,NA,139,NA,treatment20C:sitePW
treatment20C...974,-0.395287951,140,1.76E-55,treatment20C
siteCI5...975,NA,140,NA,siteCI5
siteDB...976,NA,140,NA,siteDB
sitePW...977,NA,140,NA,sitePW
treatment20C:siteCI5...978,NA,140,NA,treatment20C:siteCI5
treatment20C:siteDB...979,NA,140,NA,treatment20C:siteDB
treatment20C:sitePW...980,NA,140,NA,treatment20C:sitePW
treatment20C...981,-0.585735412,141,3.85E-113,treatment20C
siteCI5...982,NA,141,NA,siteCI5
siteDB...983,NA,141,NA,siteDB
sitePW...984,NA,141,NA,sitePW
treatment20C:siteCI5...985,NA,141,NA,treatment20C:siteCI5
treatment20C:siteDB...986,NA,141,NA,treatment20C:siteDB
treatment20C:sitePW...987,NA,141,NA,treatment20C:sitePW
treatment20C...988,-0.30417679,142,2.05E-34,treatment20C
siteCI5...989,NA,142,NA,siteCI5
siteDB...990,NA,142,NA,siteDB
sitePW...991,NA,142,NA,sitePW
treatment20C:siteCI5...992,NA,142,NA,treatment20C:siteCI5
treatment20C:siteDB...993,NA,142,NA,treatment20C:siteDB
treatment20C:sitePW...994,NA,142,NA,treatment20C:sitePW
treatment20C...995,-0.447767596,143,6.28E-81,treatment20C
siteCI5...996,NA,143,NA,siteCI5
siteDB...997,NA,143,NA,siteDB
sitePW...998,NA,143,NA,sitePW
treatment20C:siteCI5...999,NA,143,NA,treatment20C:siteCI5
treatment20C:siteDB...1000,NA,143,NA,treatment20C:siteDB
treatment20C:sitePW...1001,NA,143,NA,treatment20C:sitePW
treatment20C...1002,-0.483903137,144,1.95E-87,treatment20C
siteCI5...1003,NA,144,NA,siteCI5
siteDB...1004,NA,144,NA,siteDB
sitePW...1005,NA,144,NA,sitePW
treatment20C:siteCI5...1006,NA,144,NA,treatment20C:siteCI5
treatment20C:siteDB...1007,NA,144,NA,treatment20C:siteDB
treatment20C:sitePW...1008,NA,144,NA,treatment20C:sitePW
treatment20C...1009,-0.217964867,145,7.89E-20,treatment20C
siteCI5...1010,NA,145,NA,siteCI5
siteDB...1011,NA,145,NA,siteDB
sitePW...1012,NA,145,NA,sitePW
treatment20C:siteCI5...1013,NA,145,NA,treatment20C:siteCI5
treatment20C:siteDB...1014,NA,145,NA,treatment20C:siteDB
treatment20C:sitePW...1015,NA,145,NA,treatment20C:sitePW
treatment20C...1016,-0.577115109,146,1.14E-132,treatment20C
siteCI5...1017,NA,146,NA,siteCI5
siteDB...1018,NA,146,NA,siteDB
sitePW...1019,NA,146,NA,sitePW
treatment20C:siteCI5...1020,NA,146,NA,treatment20C:siteCI5
treatment20C:siteDB...1021,NA,146,NA,treatment20C:siteDB
treatment20C:sitePW...1022,NA,146,NA,treatment20C:sitePW
treatment20C...1023,-0.606610955,147,2.51E-135,treatment20C
siteCI5...1024,NA,147,NA,siteCI5
siteDB...1025,NA,147,NA,siteDB
sitePW...1026,NA,147,NA,sitePW
treatment20C:siteCI5...1027,NA,147,NA,treatment20C:siteCI5
treatment20C:siteDB...1028,NA,147,NA,treatment20C:siteDB
